theorem_id,phase_heading,name,statement,key_values
T1,Phase I: L∞ Tower Generation Rules (T1–T18),l3 Inter-Generational Purity,"All 2592 l3 entries have inputs from 3 distinct generations, outputs in g0","72 output bases, coeffs ±1"
T2,Phase I: L∞ Tower Generation Rules (T1–T18),l3 Antisymmetry,"T[i,j,k] = −T[j,i,k] under gen0↔gen1 swap",Fill fraction 13.2%
T3,Phase I: L∞ Tower Generation Rules (T1–T18),l4 Generation-Diagonal,l4 self-energy is generation-diagonal: output gen = doubled input gen,"25920 entries, 3 patterns × 8640"
T4,Phase I: L∞ Tower Generation Rules (T1–T18),Mass Matrix Eigenvalue Ratio,Top eigenvalue / second = μ = 4,"Spectrum {96×1, 24×8, −12×12, −24×6}, traceless"
T5,Phase I: L∞ Tower Generation Rules (T1–T18),Uniform Coupling,Every VEV site produces exactly 96 = μ×(27−3) Yukawa entries,96 = 4 × 24
T6,Phase I: L∞ Tower Generation Rules (T1–T18),Association Scheme,27-line mass matrix gives 4-class association scheme,"Values {0,2,4,16}, per-row {0:1, 2:16, 4:8, 16:2}"
T7,Phase I: L∞ Tower Generation Rules (T1–T18),Schläfli Graph,"A₁ relation matrix = Schläfli graph SRG(27,16,10,8)","Spectrum {16¹, 4⁶, −2²⁰}"
T8,Phase I: L∞ Tower Generation Rules (T1–T18),Steiner Triads,A₃ gives 9 Steiner triads = 9 disjoint triples partitioning 27,Coupling democracy 2×16 = 4×8 = 16×2 = 32
T9,Phase I: L∞ Tower Generation Rules (T1–T18),SO(10) Sectors,E₆ → SO(10) × U(1): 27 = 1 + 16 + 10,"Spinor has ±1 components, vector has ±2"
T10,Phase I: L∞ Tower Generation Rules (T1–T18),Steiner = SO(10) Yukawa,Steiner triads are SO(10) Yukawa channels,8×(16+16+10) + 1×(1+10+10)
T11,Phase I: L∞ Tower Generation Rules (T1–T18),Antisymmetric Yukawa,All spin-spin Yukawa matrices Y_v = −Y_vᵀ,"SVs in pairs, 3 rank types {14:4, 12:4, 16:2}"
T12,Phase I: L∞ Tower Generation Rules (T1–T18),SM Fermion Content,Spinor-16 = Q(6)+uᶜ(3)+dᶜ(3)+L(2)+eᶜ(1)+νᶜ(1),Exact SM quantum numbers SU(3)×SU(2)×U(1)_Y
T13,Phase I: L∞ Tower Generation Rules (T1–T18),Positive Chirality,All spinors have c₂·c₃·c₄·c₅·c₆ = +1,"SU(5) multiplets: {0-neg:1, 2-neg:10, 4-neg:5}"
T14,Phase I: L∞ Tower Generation Rules (T1–T18),Higgs Sector Decomposition,"Vector-10 = 5 ⊕ 5̄ = T(3,1) + H(1,2) + T̄(3̄,1) + H̄(1,2̄)",3T+3T̄+2H+2H̄ = 10
T15,Phase I: L∞ Tower Generation Rules (T1–T18),Hypercharge Formula,"Y = −½ Σ diag(−⅓,−⅓,−⅓,½,½)·cᵢ","All 16 Y values exact, ΣY=0, ΣY³=0"
T16,Phase I: L∞ Tower Generation Rules (T1–T18),l9 Generation Democracy,">85% of l9 entries have pattern (3,3,3)","Remainder (2,3,4); >100K sample"
T17,Phase I: L∞ Tower Generation Rules (T1–T18),Rank-Deficient Masses,All mass matrices rank ≤ 2; at least 1 massless generation,"Leptons rk2, up rk2, down rk1"
T18,Phase I: L∞ Tower Generation Rules (T1–T18),Color Factor from SRG,N_c = k/μ = 3; |Y_q|²/|Y_l|² = 6 = 2N_c,Quark Yukawa = lepton Yukawa
T19,Phase II: Projective Unification (T19–T26),Weinberg Angle (GUT),sin²θ_W = 3/8 from Tr(Y²)/Tr(T₃²) = θ/q,"k_GUT = 5/3, q·λ = r−s = 6"
T20,Phase II: Projective Unification (T19–T26),Weinberg Angle (EW) & Cabibbo,"sin²θ_W(EW) = 3/13 via |PG(2,q)| = 13 running","θ_C = 13°, running = 8/13"
T21,Phase II: Projective Unification (T19–T26),Spinor Weight Space,SO(10) spinor-16 from positive chirality in 5D subspace,"c₀=+1, c₁=−1, c₇=−1 fixed"
