quantity,formula,value,role,status,note
sin2_theta_W,μ/(k+μ),1/4,bare local ratio,interpretive,Local SRG mass/coupling ratio; appears in theory/physics summary.
sin2_theta_W,2q/(q+1)^2,3/8,GUT-normalized value,closed_internal,Used as SU(5) boundary value and uniqueness selector.
sin2_theta_W,q/(q^2+q+1),3/13,low-energy/projective dressed value,closed_internal,"Used for M_Z-scale EW prediction and tied to PG(2,3)=13."
v_EW,q^5+q,246,finite-field formula,closed_internal,Equivalent to |E8 roots|+2q only at q=3 because q^5-q=240.
v_EW,|E8 roots|+2q,246,E8-count formula,closed_internal,"Same number, different interpretation layer."
M_H,s^4+v+μ,125,integer spectral core,partially_reconciled,Appears in summary tables as exact integer core.
M_H,q^4+v+μ+λ/(k-μ),125.25,corrected/projective value,closed_internal,Used as main precision prediction.
M_Pl,q^v=3^40,1.216e19 GeV,unreduced Planck scale,interpretive,"Matches ordinary Planck scale, not reduced Planck mass."
M_Pl,2.435e18 GeV,2.435e18 GeV,reduced Planck scale,inconsistent_normalization,Prediction table uses reduced Planck normalization without explicit bridge in file.
Omega_b,1/20,0.05,exact closure fraction,partially_reconciled,Used in exact sum Ω_DM+Ω_b+Ω_DE=1.
Omega_b,λ/(v+1)=2/41,0.04878,empirical-fit variant,inconsistent_normalization,Closer to data but not identical to 1/20; bridge not explicitly derived.
Omega_DM,4/15,0.2667,exact closure fraction,closed_internal,Main dark matter fraction used throughout.
Omega_DM,13/40,0.325,representation-count variant,interpretive,"Appears as dark-sector counting bridge in discovery section, not main cosmology formula."
H0,v+f+1+λ,67,CMB branch,closed_internal,One branch of dual Hubble prediction.
H0,v+f+1+2λ+μ,73,local branch,closed_internal,Second branch; mechanism for duality remains open.
alpha_inv,k^2-2μ+1+v/((k-1)((k-λ)^2+1)),137.036004,compact closed formula,closed_internal,Main published expression.
alpha_inv,(k^2-2μ+1)+1^T M^{-1} 1,137 + 40/1111,spectral-propagator form,closed_internal,More structural non-backtracking / Ihara-Bass form.
